video_id,n_tracks,avg_track_lifespan_frames,median_track_lifespan_frames,candidate_id_switches
Non_Header_h43,36,207.8,168.5,8
Non_Header_h44,34,196.4,169.0,6
Non_Header_h45,28,216.7,148.5,5
Non_Header_h46,41,115.1,63.0,7
Non_Header_h47,32,55.9,37.5,3
Non_Header_h48,56,46.2,7.5,2
Non_Header_h49,47,75.3,29.0,1
Non_Header_h5,42,83.4,23.0,5
Non_Header_h50,45,72.2,27.0,6
Non_Header_h51,46,179.1,114.0,4
Non_Header_h52,64,49.5,28.5,4
Non_Header_h53,76,56.4,6.5,8
Non_Header_h54,32,138.3,82.0,11
Non_Header_h55,19,173.6,155.0,0
Non_Header_h56,30,170.1,131.0,2
Non_Header_h57,18,252.2,196.5,2
Non_Header_h58,44,78.5,25.5,3
Non_Header_h59,62,51.2,10.5,7
Non_Header_h6,43,58.9,29.0,1
Non_Header_h60,55,50.1,25.0,5
Non_Header_h61,95,42.5,6.0,14
Non_Header_h62,167,47.3,2.0,79
Non_Header_h63,62,57.5,18.5,4
Non_Header_h64,80,92.9,65.5,15
Non_Header_h65,85,91.4,34.0,69
Non_Header_h66,63,123.8,39.0,26
Non_Header_h67,28,125.4,50.5,2
Non_Header_h68,41,32.2,14.0,1
Non_Header_h69,17,49.3,13.0,1
Non_Header_h7,68,66.6,23.5,7
Non_Header_h70,55,51.8,13.0,2
Non_Header_h71,51,30.9,6.0,0
Non_Header_h72,28,249.2,258.0,2
Non_Header_h73,52,155.2,49.0,16
Non_Header_h74,91,75.6,21.0,15
Non_Header_h75,81,123.6,8.0,31
Non_Header_h76,31,256.3,316.0,3
Non_Header_h77,24,319.3,364.5,3
Non_Header_h78,49,158.4,53.0,12
Non_Header_h79,79,63.1,2.0,25
Non_Header_h8,30,118.9,57.0,1
Non_Header_h80,89,60.3,28.0,9
Non_Header_h81,58,128.6,3.0,22
Non_Header_h82,42,234.9,200.0,8
Non_Header_h83,35,220.5,256.0,3
Non_Header_h84,33,166.9,103.0,7
Non_Header_h85,41,129.6,45.0,10
Non_Header_h86,31,148.6,94.0,11
Non_Header_h87,60,80.5,23.0,10
Non_Header_h88,28,235.0,181.0,4
Non_Header_h89,41,153.0,83.0,9
Non_Header_h9,35,200.1,157.0,4
Non_Header_h90,54,139.4,49.5,13
Non_Header_h91,67,71.1,53.0,6
Non_Header_h92,122,70.8,2.0,121
Non_Header_h93,52,206.2,100.5,22
Non_Header_h94,43,207.0,131.0,3
Non_Header_h95,35,209.7,189.0,4
Non_Header_h96,35,209.7,189.0,5
Non_Header_h97,37,97.0,47.0,2
Non_Header_h98,11,345.7,466.0,0
Non_Header_h99,40,213.2,93.5,5
