epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16901.1,0.5552,0.34314,0.82237,0.83261,0.76656,0.82368,0.63117,0.5597,0.39698,0.86646,0.000848969,0.000848969,0.000848969
43,17300,0.54744,0.33797,0.81983,0.86305,0.77441,0.84411,0.63674,0.56978,0.38417,0.87018,0.000834822,0.000834822,0.000834822
44,17699.3,0.55055,0.33865,0.81943,0.85567,0.77878,0.84238,0.64295,0.54589,0.37932,0.86221,0.000820675,0.000820675,0.000820675
45,18097.3,0.54425,0.33427,0.81967,0.83687,0.77668,0.838,0.63346,0.55464,0.39084,0.86486,0.000806528,0.000806528,0.000806528
46,18496.7,0.54527,0.33428,0.81897,0.84998,0.78642,0.843,0.64427,0.54989,0.3829,0.86399,0.00079238,0.00079238,0.00079238
47,18895.6,0.53949,0.32939,0.81783,0.86473,0.75659,0.82568,0.63271,0.55442,0.38563,0.86779,0.000778233,0.000778233,0.000778233
48,19294.7,0.5432,0.33186,0.81789,0.85097,0.76644,0.83506,0.63948,0.54687,0.37931,0.86272,0.000764086,0.000764086,0.000764086
49,19691.9,0.53195,0.32613,0.81582,0.84513,0.77837,0.84137,0.64453,0.55407,0.37727,0.87174,0.000749939,0.000749939,0.000749939
50,20091.5,0.53697,0.32904,0.81675,0.85944,0.77722,0.8485,0.64618,0.54675,0.37422,0.86521,0.000735792,0.000735792,0.000735792
51,20490,0.53283,0.32375,0.81511,0.83356,0.79661,0.84399,0.65039,0.53947,0.3798,0.8624,0.000721645,0.000721645,0.000721645
52,20889.4,0.53054,0.32277,0.81609,0.85289,0.78909,0.84524,0.64666,0.5462,0.37939,0.86477,0.000707498,0.000707498,0.000707498
53,21288.2,0.5277,0.32239,0.81584,0.85534,0.78164,0.83881,0.64813,0.54069,0.38345,0.86427,0.000693351,0.000693351,0.000693351
54,21687.4,0.52576,0.32097,0.81297,0.87086,0.77622,0.85185,0.65045,0.54215,0.37734,0.86437,0.000679204,0.000679204,0.000679204
55,22086.4,0.52419,0.31817,0.8134,0.86587,0.77146,0.83517,0.64812,0.53863,0.38217,0.86338,0.000665057,0.000665057,0.000665057
56,22485.2,0.52527,0.31794,0.81375,0.85824,0.78188,0.8377,0.64709,0.54565,0.37581,0.86415,0.000650909,0.000650909,0.000650909
57,22883.6,0.51962,0.31336,0.81221,0.8583,0.77494,0.84279,0.65337,0.53289,0.37297,0.85928,0.000636762,0.000636762,0.000636762
58,23281.8,0.5172,0.31326,0.81202,0.86138,0.77072,0.83968,0.65239,0.53436,0.37482,0.85908,0.000622615,0.000622615,0.000622615
59,23681.5,0.51379,0.31107,0.81015,0.86433,0.76627,0.83705,0.64779,0.53286,0.37085,0.85895,0.000608468,0.000608468,0.000608468
60,24080.2,0.51182,0.30981,0.81025,0.8504,0.77335,0.84162,0.64831,0.53648,0.37894,0.86125,0.000594321,0.000594321,0.000594321
61,24479,0.51084,0.30959,0.81081,0.86417,0.76753,0.84307,0.65084,0.53705,0.37578,0.86306,0.000580174,0.000580174,0.000580174
62,24873.5,0.51008,0.30788,0.80948,0.86235,0.76846,0.84431,0.65258,0.53831,0.3732,0.863,0.000566027,0.000566027,0.000566027
63,25264.4,0.50495,0.30587,0.80925,0.87343,0.77654,0.84782,0.65559,0.52809,0.36706,0.86051,0.00055188,0.00055188,0.00055188
64,25656.4,0.50482,0.3037,0.80845,0.87571,0.76717,0.84902,0.6518,0.53269,0.36844,0.86357,0.000537733,0.000537733,0.000537733
65,26047,0.50512,0.30305,0.81013,0.85465,0.77707,0.84256,0.64884,0.52601,0.36539,0.86049,0.000523586,0.000523586,0.000523586
66,26437.5,0.50331,0.3031,0.80871,0.86062,0.76538,0.8394,0.64493,0.53071,0.36929,0.86308,0.000509438,0.000509438,0.000509438
67,26828.8,0.49851,0.29858,0.80711,0.86197,0.76772,0.84082,0.65173,0.52805,0.37074,0.85935,0.000495291,0.000495291,0.000495291
68,27220.1,0.49829,0.29762,0.80762,0.84473,0.78319,0.84468,0.65307,0.52207,0.36782,0.8574,0.000481144,0.000481144,0.000481144
69,27620.7,0.49362,0.29601,0.80686,0.85232,0.77296,0.84465,0.65579,0.5221,0.36376,0.85652,0.000466997,0.000466997,0.000466997
70,28019.8,0.49232,0.29389,0.80541,0.84516,0.78335,0.8491,0.65753,0.51807,0.36824,0.85559,0.00045285,0.00045285,0.00045285
71,28418.8,0.49067,0.2941,0.80522,0.83924,0.78035,0.83758,0.64946,0.51928,0.36913,0.85633,0.000438703,0.000438703,0.000438703
72,28817.4,0.49009,0.29287,0.8046,0.86487,0.75776,0.83834,0.65101,0.52448,0.37212,0.8608,0.000424556,0.000424556,0.000424556
73,29216.1,0.48701,0.29046,0.80471,0.85272,0.76475,0.83677,0.6502,0.52134,0.36915,0.8593,0.000410409,0.000410409,0.000410409
74,29614.9,0.48409,0.28724,0.80428,0.85222,0.76935,0.84057,0.65123,0.52465,0.37445,0.86296,0.000396262,0.000396262,0.000396262
75,30013.8,0.48244,0.28703,0.80285,0.86109,0.77158,0.84522,0.65892,0.52079,0.36533,0.85797,0.000382115,0.000382115,0.000382115
76,30411.3,0.47822,0.28463,0.803,0.86548,0.77529,0.8482,0.66002,0.51877,0.36736,0.85764,0.000367967,0.000367967,0.000367967
77,30809.9,0.47911,0.28556,0.80292,0.86069,0.78347,0.85144,0.65849,0.52049,0.36974,0.86242,0.00035382,0.00035382,0.00035382
78,31208,0.47699,0.28225,0.80171,0.85121,0.77833,0.84138,0.65444,0.51904,0.36685,0.8587,0.000339673,0.000339673,0.000339673
79,31607.5,0.47609,0.28178,0.80141,0.85224,0.77777,0.84589,0.6561,0.51894,0.36611,0.86025,0.000325526,0.000325526,0.000325526
80,32006.6,0.46942,0.27777,0.8011,0.85056,0.78034,0.84273,0.65476,0.51198,0.35972,0.85584,0.000311379,0.000311379,0.000311379
81,32405.7,0.46945,0.27821,0.8011,0.863,0.77147,0.84246,0.65689,0.51065,0.35676,0.85579,0.000297232,0.000297232,0.000297232
82,32804.6,0.46979,0.27672,0.80078,0.86129,0.77936,0.84345,0.65555,0.51478,0.36193,0.85764,0.000283085,0.000283085,0.000283085
83,33202.3,0.46785,0.27466,0.80011,0.85248,0.78148,0.84468,0.65692,0.51386,0.36469,0.85745,0.000268938,0.000268938,0.000268938
84,33600.8,0.4659,0.27329,0.79884,0.86089,0.76665,0.83465,0.65109,0.51373,0.36983,0.85979,0.000254791,0.000254791,0.000254791
85,33999.2,0.46396,0.27234,0.79949,0.84859,0.78258,0.8385,0.65283,0.51415,0.36933,0.86113,0.000240644,0.000240644,0.000240644
86,34395.1,0.46112,0.27107,0.79786,0.84442,0.7796,0.83598,0.65325,0.51382,0.36888,0.86037,0.000226497,0.000226497,0.000226497
87,34792.8,0.45973,0.26957,0.79822,0.87166,0.75954,0.83506,0.65447,0.51264,0.37057,0.85867,0.000212349,0.000212349,0.000212349
88,35191.4,0.45869,0.26949,0.79888,0.86389,0.77773,0.84586,0.66239,0.50753,0.364,0.85612,0.000198202,0.000198202,0.000198202
89,35587.6,0.45592,0.26661,0.79798,0.85826,0.78371,0.84513,0.66092,0.50647,0.36145,0.85547,0.000184055,0.000184055,0.000184055
90,35986.1,0.4545,0.2658,0.79814,0.85268,0.78973,0.84427,0.6606,0.50544,0.36282,0.85658,0.000169908,0.000169908,0.000169908
91,36383.7,0.45083,0.26278,0.79667,0.85036,0.79812,0.8465,0.66083,0.50631,0.36382,0.85674,0.000155761,0.000155761,0.000155761
92,36781.9,0.44959,0.26307,0.79638,0.83909,0.79162,0.84407,0.65947,0.5064,0.36367,0.857,0.000141614,0.000141614,0.000141614
93,37180.2,0.4501,0.26194,0.79711,0.85205,0.78931,0.84211,0.65993,0.50786,0.36474,0.85798,0.000127467,0.000127467,0.000127467
94,37579.6,0.44896,0.26138,0.79702,0.85241,0.78627,0.83979,0.65665,0.50774,0.36551,0.85827,0.00011332,0.00011332,0.00011332
95,37976.5,0.44586,0.25886,0.79615,0.84984,0.78193,0.83757,0.65656,0.50582,0.36281,0.8575,9.91726e-05,9.91726e-05,9.91726e-05
96,38374.2,0.44545,0.2583,0.79571,0.85025,0.78355,0.83877,0.65665,0.50549,0.36342,0.85739,8.50255e-05,8.50255e-05,8.50255e-05
97,38772.4,0.44534,0.25799,0.79513,0.84457,0.7872,0.83709,0.65578,0.50434,0.36509,0.85654,7.08784e-05,7.08784e-05,7.08784e-05
98,39168.9,0.44215,0.25546,0.79578,0.84693,0.78707,0.8401,0.65827,0.50355,0.3642,0.85603,5.67313e-05,5.67313e-05,5.67313e-05
99,39569.6,0.44107,0.25476,0.79431,0.85093,0.78477,0.83965,0.65769,0.50317,0.3633,0.85605,4.25842e-05,4.25842e-05,4.25842e-05
100,39969.5,0.4403,0.25395,0.79474,0.84524,0.78683,0.84021,0.65823,0.5034,0.36248,0.85614,2.84371e-05,2.84371e-05,2.84371e-05
