epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,37203.6,0.51551,0.31381,0.81996,0.84856,0.80187,0.86497,0.67659,0.50228,0.35172,0.85782,0.000848969,0.000848969,0.000848969
43,38088.6,0.50869,0.31003,0.81859,0.85076,0.78629,0.85743,0.66879,0.50168,0.35631,0.8587,0.000834822,0.000834822,0.000834822
44,38973.6,0.50992,0.30736,0.81806,0.83868,0.80721,0.86361,0.67514,0.50329,0.35373,0.85937,0.000820675,0.000820675,0.000820675
45,39863.5,0.50645,0.30646,0.81707,0.84623,0.79587,0.85109,0.66997,0.50528,0.3545,0.85921,0.000806528,0.000806528,0.000806528
46,40763.7,0.50236,0.30558,0.81694,0.84955,0.78852,0.85796,0.67642,0.4961,0.35498,0.85563,0.00079238,0.00079238,0.00079238
47,41647,0.49784,0.30221,0.81583,0.854,0.7886,0.85876,0.67614,0.49182,0.34593,0.85412,0.000778233,0.000778233,0.000778233
48,42558.1,0.49855,0.30266,0.81577,0.85809,0.79305,0.86199,0.68117,0.49784,0.34892,0.85847,0.000764086,0.000764086,0.000764086
49,43461,0.48981,0.2963,0.81524,0.85426,0.80385,0.86154,0.68132,0.4937,0.34172,0.85829,0.000749939,0.000749939,0.000749939
50,44380.7,0.49316,0.29812,0.81509,0.85994,0.78953,0.86085,0.67532,0.49288,0.34407,0.85519,0.000735792,0.000735792,0.000735792
51,45288.1,0.48337,0.29404,0.81264,0.86497,0.79298,0.86158,0.68227,0.48931,0.34214,0.85741,0.000721645,0.000721645,0.000721645
52,46174,0.48438,0.29438,0.81288,0.86196,0.79353,0.86258,0.6797,0.49367,0.3502,0.85914,0.000707498,0.000707498,0.000707498
53,47060.9,0.48326,0.29051,0.81243,0.85082,0.79486,0.85875,0.67843,0.49095,0.34845,0.85665,0.000693351,0.000693351,0.000693351
54,47945.7,0.48036,0.29181,0.8107,0.83464,0.81218,0.86359,0.68206,0.48997,0.34309,0.85705,0.000679204,0.000679204,0.000679204
55,48832.7,0.47688,0.28818,0.80993,0.83534,0.81808,0.86546,0.68404,0.49168,0.33891,0.85945,0.000665057,0.000665057,0.000665057
56,49720.4,0.47451,0.2861,0.81101,0.84075,0.81052,0.86678,0.68492,0.48884,0.33637,0.8565,0.000650909,0.000650909,0.000650909
57,50611.4,0.47311,0.28464,0.80938,0.85781,0.791,0.8589,0.67676,0.48854,0.33991,0.85801,0.000636762,0.000636762,0.000636762
58,51501.2,0.46878,0.2829,0.8089,0.85354,0.80822,0.86411,0.68141,0.49147,0.34202,0.85768,0.000622615,0.000622615,0.000622615
59,52387.4,0.46717,0.27963,0.80908,0.83455,0.79814,0.85918,0.67928,0.48229,0.34032,0.8568,0.000608468,0.000608468,0.000608468
60,53272.5,0.46249,0.2775,0.80865,0.84681,0.81288,0.86945,0.68864,0.48283,0.33715,0.85621,0.000594321,0.000594321,0.000594321
61,54158.6,0.46194,0.27729,0.80751,0.86543,0.80385,0.86902,0.69022,0.48098,0.33651,0.85731,0.000580174,0.000580174,0.000580174
62,55046.9,0.45961,0.27524,0.80652,0.85042,0.81566,0.8685,0.68797,0.48255,0.3353,0.85658,0.000566027,0.000566027,0.000566027
63,55938.2,0.45643,0.27289,0.80528,0.83229,0.81941,0.86532,0.68346,0.48145,0.33937,0.85693,0.00055188,0.00055188,0.00055188
64,56830.4,0.45305,0.26952,0.80565,0.8382,0.81992,0.86915,0.68721,0.47888,0.32999,0.85652,0.000537733,0.000537733,0.000537733
65,57718.5,0.45051,0.26987,0.80525,0.8677,0.79322,0.86605,0.68586,0.47996,0.33155,0.85801,0.000523586,0.000523586,0.000523586
66,58606.1,0.45179,0.26944,0.80385,0.85412,0.81664,0.86797,0.69016,0.47563,0.33034,0.8553,0.000509438,0.000509438,0.000509438
67,59491.9,0.44544,0.2657,0.8044,0.85244,0.80598,0.8673,0.68591,0.47688,0.33502,0.85633,0.000495291,0.000495291,0.000495291
68,60378.8,0.44284,0.26498,0.80393,0.84316,0.8098,0.86223,0.68412,0.47641,0.33183,0.85486,0.000481144,0.000481144,0.000481144
69,61265,0.44505,0.26506,0.80318,0.83262,0.82563,0.86135,0.68399,0.47394,0.33257,0.85519,0.000466997,0.000466997,0.000466997
70,62155,0.43897,0.26165,0.80166,0.85274,0.81363,0.86826,0.69193,0.47503,0.32757,0.85455,0.00045285,0.00045285,0.00045285
71,63042.6,0.43704,0.25934,0.80019,0.84562,0.81851,0.86655,0.69018,0.47552,0.33213,0.85461,0.000438703,0.000438703,0.000438703
72,63931.3,0.43597,0.25896,0.80119,0.83907,0.81665,0.86758,0.68996,0.47152,0.33164,0.85294,0.000424556,0.000424556,0.000424556
73,64817,0.43164,0.25548,0.80018,0.83837,0.81447,0.86339,0.68647,0.47297,0.33411,0.85463,0.000410409,0.000410409,0.000410409
74,65702.3,0.42814,0.2542,0.79874,0.85187,0.7968,0.86253,0.68698,0.47098,0.3355,0.85495,0.000396262,0.000396262,0.000396262
75,66590.5,0.42771,0.25144,0.79899,0.8372,0.80683,0.86312,0.68575,0.47097,0.3337,0.85483,0.000382115,0.000382115,0.000382115
76,67475.9,0.42465,0.25128,0.7989,0.85657,0.79422,0.86774,0.69109,0.46804,0.3305,0.85215,0.000367967,0.000367967,0.000367967
77,68362.6,0.42278,0.24892,0.79702,0.83226,0.81062,0.86342,0.68564,0.47152,0.33318,0.85575,0.00035382,0.00035382,0.00035382
78,69250,0.42095,0.24604,0.79777,0.85021,0.81331,0.86781,0.69236,0.47108,0.32991,0.85556,0.000339673,0.000339673,0.000339673
79,70142.6,0.41903,0.24565,0.79737,0.85185,0.81117,0.86652,0.69041,0.46877,0.32928,0.85505,0.000325526,0.000325526,0.000325526
80,71015.8,0.41349,0.2427,0.79582,0.85969,0.80027,0.85958,0.68636,0.46742,0.33282,0.85484,0.000311379,0.000311379,0.000311379
81,71879.8,0.41315,0.24195,0.79704,0.85058,0.81553,0.86783,0.69088,0.47084,0.32988,0.85703,0.000297232,0.000297232,0.000297232
82,72750,0.41541,0.24171,0.79733,0.85797,0.812,0.86389,0.68996,0.46837,0.33212,0.8552,0.000283085,0.000283085,0.000283085
83,73637.9,0.41127,0.23958,0.79497,0.86206,0.80177,0.86059,0.68706,0.47052,0.34029,0.8561,0.000268938,0.000268938,0.000268938
84,74522.8,0.40908,0.23754,0.79432,0.86952,0.77496,0.85655,0.68361,0.47081,0.34051,0.85598,0.000254791,0.000254791,0.000254791
85,75406.9,0.40586,0.23612,0.79494,0.86296,0.78975,0.86131,0.68754,0.46923,0.34041,0.85541,0.000240644,0.000240644,0.000240644
86,76291.7,0.40413,0.23453,0.79465,0.84795,0.79258,0.85924,0.68642,0.46985,0.34419,0.85702,0.000226497,0.000226497,0.000226497
87,77177.8,0.40147,0.23261,0.79325,0.84518,0.80524,0.85901,0.68445,0.46789,0.33896,0.8562,0.000212349,0.000212349,0.000212349
88,78062.3,0.4009,0.23233,0.79371,0.85222,0.81036,0.86091,0.68841,0.468,0.33575,0.85684,0.000198202,0.000198202,0.000198202
89,78948.9,0.39791,0.22983,0.79285,0.85367,0.8076,0.86093,0.68732,0.46655,0.33619,0.85536,0.000184055,0.000184055,0.000184055
90,79838.7,0.39642,0.22779,0.79299,0.85824,0.79413,0.85861,0.68699,0.46652,0.33553,0.85639,0.000169908,0.000169908,0.000169908
91,80721.9,0.39544,0.22673,0.79333,0.86554,0.78115,0.85709,0.68369,0.46785,0.33858,0.85683,0.000155761,0.000155761,0.000155761
92,81606.6,0.39099,0.22558,0.79173,0.86077,0.78624,0.85526,0.6825,0.46744,0.33897,0.85742,0.000141614,0.000141614,0.000141614
93,82490.5,0.39051,0.22458,0.79101,0.84767,0.79534,0.85506,0.68237,0.46642,0.33927,0.85715,0.000127467,0.000127467,0.000127467
94,83373.9,0.39102,0.22316,0.7915,0.85559,0.79797,0.85599,0.68469,0.46614,0.33877,0.85655,0.00011332,0.00011332,0.00011332
95,84261.5,0.38674,0.22093,0.79147,0.84258,0.80794,0.85581,0.68401,0.46767,0.33922,0.85704,9.91726e-05,9.91726e-05,9.91726e-05
96,85147.6,0.38522,0.21957,0.79037,0.84617,0.80012,0.84884,0.68,0.46793,0.34295,0.85739,8.50255e-05,8.50255e-05,8.50255e-05
97,86032.2,0.38582,0.21891,0.78987,0.85012,0.79191,0.84938,0.67952,0.46817,0.34417,0.85769,7.08784e-05,7.08784e-05,7.08784e-05
98,86917,0.3836,0.21681,0.79089,0.85631,0.78856,0.84955,0.67962,0.46852,0.34532,0.8577,5.67313e-05,5.67313e-05,5.67313e-05
