,num_images,num_labels,images_missing_labels,labels_missing_images,player_boxes,ball_boxes,head_boxes,total_boxes,avg_objects_per_image,images_with_ball,images_without_ball,images_with_head,malformed_lines,invalid_class_id,invalid_coordinates,invalid_boxes
train,5422.0,5422.0,0.0,0.0,61500.0,1409.0,10881.0,73790.0,13.609,1409.0,4013.0,2460.0,0.0,0.0,0.0,0.0
valid,928.0,928.0,0.0,0.0,10183.0,295.0,1424.0,11902.0,12.825,295.0,633.0,379.0,0.0,0.0,0.0,0.0
test,1145.0,1145.0,0.0,0.0,10980.0,331.0,2297.0,13608.0,11.885,331.0,814.0,613.0,0.0,0.0,0.0,0.0
overall,7495.0,7495.0,0.0,0.0,82663.0,2035.0,14602.0,99300.0,13.249,2035.0,5460.0,3452.0,0.0,0.0,0.0,0.0
